Week,Fertilizer added (cubic feet),Fertilizer Measured,"Mulch added 
(inches)",Mulch Measured,Rain,"Watering
(gallons)",Nutrition Lvl,Moisture,Temp,Weekly_Yield,Orchard,Location,Cost of Labor,Total Trees,Total Watered,Trees Planted,Total_Yield,"Material_Cost_Mulch 
(5*Total Trees*
mulch per tree)","Application_Cost_Mulch
(0.5 * Cost of Labor *total trees
 *Mulch Applied Boolean value)","Material_Cost_Fertilizer
(5*Total Trees*
Fertilizer per tree)","Application_Cost_Fert(1/8 hrs)
(0.125 * Cost of Labor *total trees
 *Fertilizer Applied Boolean value)","Cost_Water 
(0.10*Total Trees*
Gallons per tree)","Total_Yield_Revenue
($0.25 *total Yield)","Total Cost 
(Material Cost +Application Cost)","Total Profit in $
(Total Revenue- 
Total Cost)"
1,,0,6,6.00,0.86,10,75,75,49,43,Outgrowth Orchards,Sacramento,10,30,10,30,1290,900,150,0,0,30,322.5,1080,-757.5
2,,0.00,,5.85,0.87,,79,78,50,45,Outgrowth Orchards,Sacramento,10,30,10,0,1350,0,0,0,0,0,337.5,0,337.5
3,,0.00,,5.70,0.88,10,82,77,52,41,Outgrowth Orchards,Sacramento,10,60,20,30,2460,0,0,0,0,60,615,60,555
4,,0.00,,5.55,0.87,,86,79,53,51,Outgrowth Orchards,Sacramento,10,110,20,50,5610,0,0,0,0,0,1402.5,0,1402.5
5,,0.00,,5.40,0.86,10,89,79,54,57,Outgrowth Orchards,Sacramento,10,140,30,30,7980,0,0,0,0,140,1995,140,1855
6,,0.00,,5.25,0.83,,91,81,55,51,Outgrowth Orchards,Sacramento,10,180,30,40,9180,0,0,0,0,0,2295,0,2295
7,,0.00,,5.10,0.81,10,94,80,57,58,Outgrowth Orchards,Sacramento,10,200,40,20,11600,0,0,0,0,200,2900,200,2700
8,,0.00,,4.95,0.78,,96,82,58,68,Outgrowth Orchards,Sacramento,10,206,40,6,14008,0,0,0,0,0,3502,0,3502
9,,0.00,,4.80,0.74,10,98,81,60,64,Outgrowth Orchards,Sacramento,10,206,50,0,13184,0,0,0,0,206,3296,206,3090
10,,0.00,,4.65,0.70,,99,83,61,75,Outgrowth Orchards,Sacramento,10,206,50,0,15450,0,0,0,0,0,3862.5,0,3862.5
11,,0.00,,4.50,0.66,10,100,82,63,78,Outgrowth Orchards,Sacramento,10,206,60,0,16068,0,0,0,0,206,4017,206,3811
12,,0.00,,4.35,0.62,,100,84,65,81,Outgrowth Orchards,Sacramento,10,206,60,0,16686,0,0,0,0,0,4171.5,0,4171.5
13,,0.00,,4.20,0.57,10,100,82,66,83,Outgrowth Orchards,Sacramento,10,206,70,0,17098,0,0,0,0,206,4274.5,206,4068.5
14,,0.00,,4.05,0.53,,100,84,68,86,Outgrowth Orchards,Sacramento,10,206,70,0,17716,0,0,0,0,0,4429,0,4429
15,,0.00,,3.90,0.48,10,99,82,70,83,Outgrowth Orchards,Sacramento,10,206,80,0,17098,0,0,0,0,206,4274.5,206,4068.5
16,,0.00,,3.75,0.43,,98,83,71,89,Outgrowth Orchards,Sacramento,10,206,80,0,18334,0,0,0,0,0,4583.5,0,4583.5
17,,0.00,,3.60,0.38,10,97,82,73,100,Outgrowth Orchards,Sacramento,10,206,90,0,20600,0,0,0,0,206,5150,206,4944
